customer_id,gender,age,postalcode,region,connect_date,end_date,dropped_calls,pay method,tariff,handset,churn
"K101770","Male",30.000000,3672.000000,2.000000,2006-05-06,2007-01-07,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101780","Male",33.000000,3624.000000,2.000000,2005-08-25,2008-05-18,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101790","Male",30.000000,4624.000000,2.000000,2004-02-04,2008-11-09,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101800","Male",40.000000,7985.000000,4.000000,2003-07-21,2005-04-14,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101810","Male",44.000000,8851.000000,4.000000,2006-05-14,2009-06-23,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101820","Male",26.000000,9485.000000,4.000000,2003-06-03,2006-11-01,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101830","Male",37.000000,3397.000000,2.000000,2005-10-16,2006-09-12,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101840","Male",30.000000,1245.000000,1.000000,2005-01-23,2009-06-15,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101850","Male",29.000000,5911.000000,3.000000,2004-12-08,2007-10-15,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101860","Male",28.000000,8908.000000,4.000000,2006-08-12,2009-11-01,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101870","Male",31.000000,8245.000000,4.000000,2005-10-12,,2.000000,"Pre Pay","Play 100","SOP20","Active"
"K101880","Male",45.000000,3866.000000,2.000000,2005-03-27,2008-10-26,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101890","Male",33.000000,8098.000000,4.000000,2006-05-27,2010-08-26,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101900","Male",39.000000,7024.000000,3.000000,2005-07-26,2008-09-17,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101910","Male",25.000000,8599.000000,4.000000,2005-06-04,2009-10-14,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101920","Male",29.000000,2035.000000,1.000000,2006-05-09,2010-07-14,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101930","Male",25.000000,1392.000000,1.000000,2005-04-02,2006-04-29,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101940","Male",33.000000,2288.000000,1.000000,2006-01-01,2009-06-14,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101950","Male",34.000000,7421.000000,3.000000,2004-07-28,2005-05-11,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101960","Male",39.000000,9545.000000,4.000000,2004-05-20,2007-04-26,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101970","Male",33.000000,5188.000000,3.000000,2005-05-27,2006-09-14,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101980","Male",28.000000,2806.000000,2.000000,2006-04-27,2010-04-26,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101990","Male",41.000000,9222.000000,4.000000,2004-12-05,2005-07-06,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K102000","Male",32.000000,4986.000000,2.000000,2004-10-03,2007-03-27,6.000000,"Pre Pay","Play 100","SOP10","Churned"
"K102010","Male",32.000000,4045.000000,2.000000,2003-01-25,2007-05-20,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K102020","Male",38.000000,6079.000000,3.000000,2003-08-15,2005-09-20,6.000000,"Pre Pay","Play 100","SOP20","Churned"
"K102030","Male",37.000000,9345.000000,4.000000,2004-08-05,2005-02-12,7.000000,"Pre Pay","Play 100","SOP20","Churned"
"K102040","Male",26.000000,8049.000000,4.000000,2006-03-11,2007-07-21,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K102050","Male",36.000000,6981.000000,3.000000,2003-10-07,2007-08-17,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K102060","Female",55.000000,5883.000000,3.000000,2004-05-31,2005-08-06,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K102070","Female",68.000000,7970.000000,4.000000,2004-06-01,2008-01-16,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K102080","Male",57.000000,4573.000000,2.000000,2005-01-18,2007-05-26,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K102090","Male",59.000000,5197.000000,3.000000,2003-02-03,2005-06-12,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
