customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues
"N249490","yes","Male",29.000000,"CAT 100",0.000000,"BS110",590.400000,15.000000,88.560000,149.100000,5.000000,7.455000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N156940","yes","Female",27.000000,"Play 100",1.000000,"S50",168.600000,25.000000,42.150000,414.600000,5.000000,20.730000,"T","T","T","F",11.000000,22.000000,31.000000,0.000000
"N330690","yes","Female",35.000000,"CAT 50",2.000000,"CAS30",228.600001,15.000000,34.290000,93.900000,5.000000,4.695000,"T","F","F","T",11.000000,0.000000,0.000000,38.000000
"N268660","yes","Female",28.000000,"Play 100",1.000000,"BS210",171.600000,25.000000,42.900000,519.899999,5.000000,25.995000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N159220","yes","Female",29.000000,"Play 300",9.000000,"S80",472.800000,25.000000,118.200000,518.700001,2.000000,10.374000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N115020","yes","Female",27.000000,"CAT 200",4.000000,"S50",1267.799999,10.000000,126.780000,395.700000,5.000000,19.785000,"F","T","T","T",0.000000,15.000000,27.000000,35.000000
"N401450","yes","Male",55.000000,"CAT 200",13.000000,"SOP10",1477.200001,10.000000,147.720000,18.900000,5.000000,0.945000,"T","T","T","F",15.000000,23.000000,29.000000,0.000000
"N142620","yes","Female",39.000000,"CAT 200",1.000000,"S80",1346.400000,10.000000,134.640000,426.600000,5.000000,21.330000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N282520","yes","Male",26.000000,"CAT 100",2.000000,"S50",441.600000,15.000000,66.240000,206.099999,5.000000,10.305000,"F","T","T","T",0.000000,20.000000,27.000000,40.000000
"N322170","yes","Female",42.000000,"CAT 200",4.000000,"WC95",564.600000,10.000000,56.460000,517.500000,5.000000,25.875000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N399110","yes","Female",17.000000,"CAT 100",14.000000,"BS110",457.800001,15.000000,68.670000,87.000000,5.000000,4.350000,"T","T","T","T",9.000000,18.000000,27.000000,36.000000
"N172030","yes","Male",13.000000,"CAT 200",1.000000,"S50",1724.400000,10.000000,172.440000,390.300001,5.000000,19.515000,"T","T","F","T",13.000000,21.000000,0.000000,40.000000
"N145050","yes","Male",32.000000,"CAT 200",2.000000,"ASAD90",1348.799999,10.000000,134.880000,30.600001,5.000000,1.530000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N116070","yes","Female",49.000000,"CAT 200",2.000000,"ASAD170",1354.799999,10.000000,135.480000,210.000000,5.000000,10.500000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N393100","yes","Male",38.000000,"Play 300",2.000000,"ASAD90",376.800000,25.000000,94.200000,363.300000,2.000000,7.266000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N204100","yes","Female",24.000000,"CAT 200",2.000000,"ASAD170",2558.400000,10.000000,255.840000,141.000000,5.000000,7.050000,"T","F","T","T",14.000000,0.000000,34.000000,42.000000
"N413480","yes","Female",38.000000,"Play 100",12.000000,"SOP20",160.800000,25.000000,40.200000,481.500000,5.000000,24.075000,"T","T","T","T",10.000000,15.000000,27.000000,37.000000
"N347220","yes","Male",41.000000,"CAT 100",1.000000,"BS110",475.799999,15.000000,71.370000,340.200001,5.000000,17.010000,"F","F","T","F",0.000000,0.000000,29.000000,0.000000
"N382870","yes","Female",31.000000,"Play 100",2.000000,"WC95",290.400001,25.000000,72.600000,356.700001,5.000000,17.835000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N314550","yes","Male",52.000000,"CAT 200",4.000000,"CAS30",1258.199999,10.000000,125.820000,280.800001,5.000000,14.040000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N151900","yes","Male",42.000000,"CAT 200",0.000000,"ASAD90",1144.799999,10.000000,114.480000,525.600000,5.000000,26.280000,"T","F","T","T",7.000000,0.000000,29.000000,42.000000
"N226260","yes","Male",37.000000,"Play 100",2.000000,"BS110",211.799999,25.000000,52.950000,196.200001,5.000000,9.810000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N362100","yes","Male",15.000000,"CAT 200",4.000000,"BS110",709.799999,10.000000,70.980000,213.900000,5.000000,10.695000,"F","T","F","F",0.000000,24.000000,0.000000,0.000000
"N380560","yes","Male",13.000000,"Play 100",2.000000,"S80",211.800000,25.000000,52.950000,438.900000,5.000000,21.945000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N172580","yes","Male",13.000000,"CAT 200",2.000000,"ASAD170",939.000000,10.000000,93.900000,275.100001,5.000000,13.755000,"T","T","T","T",11.000000,18.000000,29.000000,42.000000
"N284000","yes","Male",13.000000,"CAT 100",2.000000,"S50",373.199999,15.000000,55.980000,207.300001,5.000000,10.365000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N381130","yes","Female",19.000000,"Play 100",2.000000,"ASAD90",261.000000,25.000000,65.250000,272.400001,5.000000,13.620000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N237670","yes","Male",53.000000,"CAT 200",0.000000,"S50",757.800001,10.000000,75.780000,222.300001,5.000000,11.115000,"T","F","F","T",8.000000,0.000000,0.000000,39.000000
"N141880","yes","Male",26.000000,"CAT 200",4.000000,"ASAD170",834.600000,10.000000,83.460000,459.000000,5.000000,22.950000,"T","F","T","T",10.000000,0.000000,31.000000,37.000000
"N240050","yes","Male",34.000000,"Play 100",8.000000,"BS110",112.200000,25.000000,28.050000,387.000000,5.000000,19.350000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N378260","yes","Male",30.000000,"Play 100",0.000000,"S80",257.400000,25.000000,64.350000,402.600000,5.000000,20.130000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N140110","yes","Male",26.000000,"CAT 200",0.000000,"ASAD170",1918.200000,10.000000,191.820000,476.399999,5.000000,23.820000,"T","F","T","T",8.000000,0.000000,32.000000,41.000000
"N144460","yes","Male",40.000000,"CAT 200",2.000000,"S80",1118.400001,10.000000,111.840000,826.800000,5.000000,41.340000,"T","T","F","T",5.000000,20.000000,0.000000,37.000000
"N128660","yes","Female",35.000000,"CAT 200",1.000000,"S50",1750.200000,10.000000,175.020000,84.299999,5.000000,4.215000,"T","T","T","T",10.000000,18.000000,31.000000,38.000000
"N129610","yes","Female",34.000000,"CAT 200",0.000000,"S50",1310.400000,10.000000,131.040000,499.499999,5.000000,24.975000,"T","T","T","T",4.000000,18.000000,28.000000,38.000000
"N165060","yes","Female",35.000000,"Play 300",1.000000,"S80",634.800000,25.000000,158.700000,729.300000,2.000000,14.586000,"T","T","T","T",7.000000,21.000000,30.000000,37.000000
"N349830","yes","Female",29.000000,"CAT 100",2.000000,"WC95",606.000000,15.000000,90.900000,49.800001,5.000000,2.490000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N316650","yes","Female",36.000000,"CAT 200",1.000000,"WC95",970.800000,10.000000,97.080000,178.500000,5.000000,8.925000,"F","T","T","F",0.000000,18.000000,32.000000,0.000000
"N256280","yes","Male",18.000000,"CAT 100",0.000000,"BS210",678.000000,15.000000,101.700000,302.100000,5.000000,15.105000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N120390","yes","Female",26.000000,"CAT 200",2.000000,"ASAD90",1351.200000,10.000000,135.120000,118.800000,5.000000,5.940000,"T","T","F","T",5.000000,23.000000,0.000000,43.000000
"N343820","yes","Female",13.000000,"CAT 100",2.000000,"BS110",427.800000,15.000000,64.170000,306.000000,5.000000,15.300000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N126470","yes","Male",48.000000,"CAT 200",6.000000,"S50",1204.800000,10.000000,120.480000,85.200000,5.000000,4.260000,"T","T","F","T",10.000000,15.000000,0.000000,43.000000
"N296970","yes","Male",29.000000,"CAT 100",2.000000,"S50",520.200000,15.000000,78.030000,413.400000,5.000000,20.670000,"T","T","T","T",12.000000,22.000000,26.000000,41.000000
"N260230","yes","Female",47.000000,"Play 100",0.000000,"BS210",271.200000,25.000000,67.800000,437.100000,5.000000,21.855000,"T","T","T","F",10.000000,18.000000,25.000000,0.000000
"N347500","yes","Male",20.000000,"CAT 100",0.000000,"S50",472.800001,15.000000,70.920000,189.599999,5.000000,9.480000,"T","T","T","T",11.000000,21.000000,28.000000,42.000000
"N264980","yes","Male",49.000000,"Play 100",2.000000,"BS210",141.000000,25.000000,35.250000,548.400001,5.000000,27.420000,"T","T","T","F",11.000000,16.000000,30.000000,0.000000
"N222560","yes","Female",20.000000,"Play 100",1.000000,"BS110",126.600001,25.000000,31.650000,119.700000,5.000000,5.985000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N353480","yes","Male",21.000000,"CAT 200",0.000000,"S50",1049.400000,10.000000,104.940000,56.700000,5.000000,2.835000,"T","F","T","T",7.000000,0.000000,29.000000,38.000000
"N366190","yes","Male",28.000000,"CAT 200",0.000000,"S50",757.199999,10.000000,75.720000,498.000000,5.000000,24.900000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N171980","yes","Female",13.000000,"CAT 200",0.000000,"S50",943.799999,10.000000,94.380000,165.900000,5.000000,8.295000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N290220","yes","Male",45.000000,"CAT 100",7.000000,"S50",413.400000,15.000000,62.010000,133.499999,5.000000,6.675000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N391030","yes","Female",17.000000,"Play 300",0.000000,"WC95",246.000000,25.000000,61.500000,541.200000,2.000000,10.824000,"T","T","T","F",7.000000,18.000000,32.000000,0.000000
"N185830","yes","Female",23.000000,"CAT 200",2.000000,"S50",930.000000,10.000000,93.000000,492.900000,5.000000,24.645000,"T","F","T","T",6.000000,0.000000,27.000000,40.000000
"N199880","yes","Male",25.000000,"CAT 200",2.000000,"S50",708.000000,10.000000,70.800000,301.800000,5.000000,15.090000,"T","T","T","T",8.000000,17.000000,29.000000,41.000000
"N402410","yes","Male",26.000000,"CAT 200",13.000000,"SOP10",659.400001,10.000000,65.940000,401.400001,5.000000,20.070000,"F","T","T","T",0.000000,20.000000,23.000000,41.000000
"N278290","yes","Female",55.000000,"Play 300",2.000000,"BS210",136.200000,25.000000,34.050000,608.699999,2.000000,12.174000,"F","T","T","T",0.000000,20.000000,30.000000,40.000000
"N325750","yes","Female",13.000000,"CAT 200",0.000000,"BS110",865.800000,10.000000,86.580000,188.099999,5.000000,9.405000,"T","T","T","T",13.000000,17.000000,30.000000,37.000000
"N228090","yes","Female",21.000000,"Play 100",1.000000,"S50",139.800000,25.000000,34.950000,160.200000,5.000000,8.010000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N158420","yes","Male",39.000000,"Play 300",1.000000,"S50",364.800001,25.000000,91.200000,787.800001,2.000000,15.756000,"T","T","T","T",12.000000,20.000000,28.000000,38.000000
"N145590","yes","Female",28.000000,"CAT 200",8.000000,"ASAD90",1027.199999,10.000000,102.720000,242.400001,5.000000,12.120000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N131340","yes","Male",35.000000,"CAT 200",1.000000,"ASAD90",1348.199999,10.000000,134.820000,689.399999,5.000000,34.470000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N110620","yes","Female",38.000000,"CAT 100",1.000000,"ASAD170",603.000000,15.000000,90.450000,240.000000,5.000000,12.000000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N111700","yes","Female",30.000000,"CAT 200",1.000000,"ASAD90",1452.600000,10.000000,145.260000,334.500001,5.000000,16.725000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N360910","yes","Female",32.000000,"CAT 200",2.000000,"WC95",1239.600000,10.000000,123.960000,248.100000,5.000000,12.405000,"F","F","F","T",0.000000,0.000000,0.000000,35.000000
"N370790","yes","Male",25.000000,"CAT 200",11.000000,"CAS30",700.800000,10.000000,70.080000,490.800000,5.000000,24.540000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N286200","yes","Female",17.000000,"CAT 100",1.000000,"BS110",643.800000,15.000000,96.570000,58.200000,5.000000,2.910000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N234170","yes","Male",28.000000,"CAT 100",7.000000,"BS110",749.399999,15.000000,112.410000,41.399999,5.000000,2.070000,"T","F","T","T",5.000000,0.000000,30.000000,39.000000
"N359270","yes","Male",53.000000,"CAT 200",0.000000,"S50",1274.400000,10.000000,127.440000,202.800000,5.000000,10.140000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N132920","yes","Male",51.000000,"CAT 200",0.000000,"S80",729.600000,10.000000,72.960000,581.400000,5.000000,29.070000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N207720","yes","Male",13.000000,"Play 300",10.000000,"S50",321.000000,25.000000,80.250000,813.300001,2.000000,16.266000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N366820","yes","Male",63.000000,"CAT 200",0.000000,"CAS30",1177.200001,10.000000,117.720000,407.100001,5.000000,20.355000,"T","T","T","T",8.000000,20.000000,28.000000,35.000000
"N359930","yes","Male",19.000000,"CAT 200",1.000000,"S50",1282.800000,10.000000,128.280000,69.600000,5.000000,3.480000,"F","F","T","F",0.000000,0.000000,28.000000,0.000000
"N199590","yes","Female",24.000000,"CAT 200",1.000000,"ASAD90",1056.000000,10.000000,105.600000,387.600000,5.000000,19.380000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N238890","yes","Female",18.000000,"CAT 50",1.000000,"S50",223.200000,15.000000,33.480000,176.700000,5.000000,8.835000,"T","F","F","F",8.000000,0.000000,0.000000,0.000000
"N165690","yes","Male",21.000000,"CAT 100",1.000000,"ASAD90",507.600000,15.000000,76.140000,390.000000,5.000000,19.500000,"T","T","T","F",14.000000,19.000000,31.000000,0.000000
"N291100","yes","Male",43.000000,"CAT 100",2.000000,"BS110",323.399999,15.000000,48.510000,265.199999,5.000000,13.260000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N220860","yes","Male",23.000000,"Play 100",0.000000,"S50",106.200000,25.000000,26.550000,265.200000,5.000000,13.260000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N218520","yes","Female",27.000000,"Play 100",0.000000,"BS110",168.000000,25.000000,42.000000,149.099998,5.000000,7.455000,"T","T","T","T",12.000000,21.000000,25.000000,41.000000
"N217650","yes","Female",34.000000,"Play 100",1.000000,"S50",40.200000,25.000000,10.050000,321.600000,5.000000,16.080000,"F","F","T","F",0.000000,0.000000,31.000000,0.000000
"N129950","yes","Female",31.000000,"CAT 200",0.000000,"S50",1321.200000,10.000000,132.120000,207.600000,5.000000,10.380000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N278480","yes","Female",19.000000,"Play 300",0.000000,"S80",74.400000,25.000000,18.600000,681.300000,2.000000,13.626000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N406890","yes","Female",33.000000,"CAT 200",12.000000,"BS110",911.400000,10.000000,91.140000,543.900000,5.000000,27.195000,"T","F","T","F",11.000000,0.000000,32.000000,0.000000
"N118650","yes","Male",28.000000,"CAT 200",2.000000,"S50",543.600000,10.000000,54.360000,508.199999,5.000000,25.410000,"T","F","T","T",9.000000,0.000000,34.000000,37.000000
"N181020","yes","Male",16.000000,"CAT 200",0.000000,"ASAD90",1415.400000,10.000000,141.540000,311.699999,5.000000,15.585000,"T","T","T","F",8.000000,20.000000,27.000000,0.000000
"N306910","yes","Male",33.000000,"CAT 200",1.000000,"S50",596.400001,10.000000,59.640000,576.000000,5.000000,28.800000,"T","T","T","T",12.000000,17.000000,27.000000,41.000000
"N318470","yes","Male",21.000000,"CAT 200",1.000000,"CAS30",1018.200000,10.000000,101.820000,364.800000,5.000000,18.240000,"T","T","F","T",8.000000,21.000000,0.000000,42.000000
"N364000","yes","Female",42.000000,"CAT 200",1.000000,"BS110",723.000000,10.000000,72.300000,0.000000,5.000000,0.000000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N329980","yes","Male",18.000000,"CAT 50",7.000000,"BS110",365.400000,15.000000,54.810000,100.500000,5.000000,5.025000,"T","T","T","F",6.000000,15.000000,31.000000,0.000000
"N356160","yes","Male",17.000000,"CAT 200",2.000000,"CAS30",694.200001,10.000000,69.420000,204.000000,5.000000,10.200000,"F","T","F","F",0.000000,19.000000,0.000000,0.000000
"N122580","yes","Female",29.000000,"CAT 200",2.000000,"S80",985.200000,10.000000,98.520000,254.100000,5.000000,12.705000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N259430","yes","Female",18.000000,"CAT 50",0.000000,"BS210",352.800000,15.000000,52.920000,27.300000,5.000000,1.365000,"T","F","F","F",9.000000,0.000000,0.000000,0.000000
"N227800","yes","Male",46.000000,"Play 100",10.000000,"S50",131.400000,25.000000,32.850000,289.800001,5.000000,14.490000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N356060","yes","Female",19.000000,"CAT 200",0.000000,"WC95",1140.599999,10.000000,114.060000,224.700000,5.000000,11.235000,"F","T","F","F",0.000000,16.000000,0.000000,0.000000
"N238390","yes","Female",52.000000,"CAT 50",1.000000,"S50",304.200001,15.000000,45.630000,177.900001,5.000000,8.895000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N119830","yes","Male",32.000000,"CAT 200",1.000000,"S50",1244.399999,10.000000,124.440000,518.399999,5.000000,25.920000,"T","T","F","T",7.000000,20.000000,0.000000,39.000000
"N150850","yes","Male",51.000000,"CAT 200",2.000000,"S50",829.199999,10.000000,82.920000,113.700000,5.000000,5.685000,"T","T","T","T",11.000000,20.000000,31.000000,38.000000
"N215170","yes","Female",44.000000,"Play 100",0.000000,"BS110",76.200000,25.000000,19.050000,84.300000,5.000000,4.215000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N146810","yes","Male",33.000000,"CAT 200",1.000000,"S50",1731.000000,10.000000,173.100000,600.000000,5.000000,30.000000,"F","T","T","T",0.000000,24.000000,29.000000,38.000000
"N352820","yes","Male",75.000000,"CAT 200",6.000000,"BS110",1538.400000,10.000000,153.840000,512.400000,5.000000,25.620000,"T","F","F","T",10.000000,0.000000,0.000000,41.000000
"N232950","yes","Male",22.000000,"CAT 100",3.000000,"BS110",684.000000,15.000000,102.600000,141.000000,5.000000,7.050000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N240900","yes","Male",15.000000,"Play 100",8.000000,"S50",222.000000,25.000000,55.500000,253.200000,5.000000,12.660000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N255150","yes","Male",34.000000,"CAT 100",1.000000,"BS210",757.200001,15.000000,113.580000,220.499999,5.000000,11.025000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N225580","yes","Female",33.000000,"Play 100",2.000000,"S50",25.199999,25.000000,6.300000,400.800001,5.000000,20.040000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N148640","yes","Female",33.000000,"CAT 200",1.000000,"ASAD170",1129.199999,10.000000,112.920000,75.600001,5.000000,3.780000,"T","T","T","T",10.000000,20.000000,31.000000,40.000000
"N335120","yes","Female",25.000000,"CAT 50",1.000000,"WC95",192.600000,15.000000,28.890000,144.300001,5.000000,7.215000,"T","T","T","T",13.000000,18.000000,27.000000,39.000000
